in_a_case_id,in_bool_context,in_bool_shade,in_context_seed,in_room_height,in_room_north,in_room_width,in_shade_hor_depth,in_shade_vert_both_sides,in_shade_vert_depth,in_window_g,in_window_height,in_window_hor_separ,in_window_sill_height,in_window_wwr,ext_wall_area(m2),ext_win_area(m2),volume(m3),org_floor_area(m2),adj_floor_area(m2),w_width(m),w_height(m),w_aspect_ratio,w_count,shade_v_count,shade_h_count,shade_L,shade_R,shade_T,cooling_load(W/m2),peak_date,altitude(deg),azimuth(deg),w_rad_total(kWh),w_rad_april(kWh),w_rad_may(kWh),w_rad_jun(kWh),w_rad_jul(kWh),w_rad_aug(kWh),w_rad_sep(kWh),f_rad_total(kWh),f_rad_april(kWh),f_rad_may(kWh),f_rad_jun(kWh),f_rad_jul(kWh),f_rad_aug(kWh),f_rad_sep(kWh),solar_load(W/m2),solar_load_adj(W/m2)
4029,0,0,3,3.94535186,300.6817166,11.1346129,0.848405428,0,0.393885939,0.307566466,2.001546329,2.352751721,0.83287001,0.457193617,43.929966,20.0845,197.684846,50.105758,29.855758,2.006898,2.001546,1.002674,5,0,0,0.0,0.0,0,31.628437,06 Jun 17:00,26.720799,273.573044,8703.502871,1261.255407,1733.356759,1735.153873,1646.619514,1388.073577,938.541655,19036.798583,2758.689871,3791.296903,3795.227642,3601.580239,3036.073812,2052.831924,59.552052,99.943894
4030,1,0,55,3.423023029,121.9078768,18.36663746,0.683591078,0,0.500712845,0.36064712,2.601682035,1.439753642,0.338327661,0.726890317,62.869423,45.699175,282.912403,82.649869,62.399869,1.13336,3.101682,0.365402,13,0,0,0.0,0.0,0,47.14478,16 Aug 09:00,37.107215,118.442535,21044.060143,3534.974729,3823.993891,3628.134941,3792.578852,3512.204066,2755.840489,28989.189433,4871.120478,5267.321754,4996.302883,5222.895528,4838.748229,3797.824136,93.041055,123.23473
4031,0,1,7,5.172828335,41.3168997,12.66980035,0.515543006,0,0.315594599,0.442718015,2.816798356,2.378431744,1.196059665,0.721889525,65.538702,47.311703,294.92416,57.014102,36.764102,12.416404,3.810419,3.25854,1,1,1,0.0,1.0,1,92.901785,29 Jun 08:00,35.876625,97.331153,13763.66726,1977.040941,2704.195344,2857.420345,2758.460906,2125.778618,1340.476888,20927.758113,2997.39197,4113.25091,4366.573077,4216.216792,3227.868404,2006.397664,57.534604,89.225184
4032,1,1,33,3.380267343,333.1529575,19.02089526,0.427276982,0,0.673353481,0.398692034,2.38956217,2.269379588,0.96784246,0.89344102,64.295711,57.444426,289.3307,85.594029,65.344029,18.640477,3.081704,6.048757,1,1,1,1.0,0.0,1,22.574094,28 Jun 16:00,37.118351,261.024176,7252.291736,1074.216639,1402.207234,1447.476535,1417.753918,1121.952458,787.76599,9030.102984,1315.73926,1760.276078,1833.209599,1786.738282,1382.94177,950.001802,17.565016,23.008383
4033,1,1,41,3.419941952,150.7657646,9.277175672,0.06253485,0,0.137848921,0.418890036,3.943754252,3.090583469,1.225852708,0.667372161,31.727402,21.173985,142.77331,41.747291,21.497291,2.105894,3.351543,0.628336,3,3,3,0.0,1.0,1,47.782543,16 Aug 10:00,44.573336,135.048101,7653.836045,1320.234195,1422.266477,1258.398059,1371.197618,1341.900931,941.758167,11528.357117,1988.215571,2142.129593,1894.542676,2063.806495,2019.879629,1422.632778,95.490902,185.441342
4034,0,1,78,3.037810164,196.7711872,14.69267173,0.392896466,0,0.837251475,0.441501588,3.736273658,2.105628745,0.002694066,0.742578406,44.633548,33.143909,200.850964,66.117023,45.867023,1.590446,2.977054,0.534235,7,7,7,0.0,1.0,1,49.612094,28 Sep 12:00,36.278349,182.750279,13313.684209,2480.086523,2247.808209,1864.72768,2026.331877,2294.031218,2400.09115,26421.819741,4819.680802,4602.83734,3831.327668,4127.437044,4555.836878,4485.255726,113.683045,163.873389
4035,0,1,71,4.982589693,24.06727624,8.649269432,0.184057919,1,0.986493737,0.255841392,3.892885188,3.011952742,0.679235187,0.797639482,43.095761,34.37488,193.930923,38.921712,21.460628,2.608375,4.392885,0.593773,3,6,3,1.0,1.0,1,29.591784,31 Jul 11:00,54.132984,152.179815,6117.357126,868.741628,1187.126478,1276.534958,1221.406912,931.378499,632.105672,11636.006103,1643.194452,2274.17744,2457.206398,2346.601495,1773.228993,1140.417009,14.241317,25.828529
4036,0,0,66,4.521353892,4.101115176,12.13453253,0.940380609,1,0.495233961,0.250679848,2.888304074,1.904726764,0.445845754,0.89404933,54.864516,49.051584,246.890321,54.605396,34.355396,11.891842,4.12481,2.883004,1,0,0,0.0,0.0,0,32.144197,31 Jul 11:00,54.132984,152.179815,12054.938006,1689.59667,2321.452242,2581.689803,2418.686341,1813.990005,1227.794729,13483.526589,1889.824868,2596.559436,2887.636841,2705.316407,2028.959624,1373.296393,17.708426,28.146252
4037,1,1,21,3.672915694,131.5485565,15.7510628,0.69298622,0,0.384720012,0.481368759,3.329106136,2.027413922,1.014344596,0.763033228,57.852326,44.143247,260.335466,70.879783,50.629783,1.532983,3.599457,0.425893,8,8,8,0.0,1.0,1,51.671015,16 Aug 09:00,37.107215,118.442535,13773.099243,2271.332815,2561.355905,2415.763512,2557.419523,2324.025503,1646.802154,22653.75448,3701.642762,4244.640802,4007.854423,4233.9877,3816.586621,2654.250105,136.087466,190.51731
4038,0,1,67,5.315478381,130.3118962,19.19077808,0.093806431,1,0.879396746,0.291705028,3.026806092,2.757552708,0.152388024,0.723617525,102.008166,73.814897,459.036747,86.358501,66.108501,18.806963,3.924871,4.791741,1,2,1,1.0,1.0,1,50.983069,06 Sep 09:00,31.733255,124.709403,41137.169893,7081.100382,7364.560086,6826.72502,7203.349442,6922.442257,5747.090507,58449.696332,10051.488009,10464.799943,9711.725351,10234.890169,9826.906994,8170.853157,105.564331,137.900228
